video_id,participant,duration_seconds,duration_source,source_url,youtube_url,md5,size_bytes
P01-20240202-110250,P01,396.266667,official HD_EPIC_YouTube_URLs.csv,https://data.bris.ac.uk/datasets/3cqb5b81wk2dc2379fx1mrxh47/Videos/P01/P01-20240202-110250.mp4,https://youtu.be/YZo1sqXp5U0,c981eab775c96858da313acef769b014,
P01-20240202-161354,P01,327.6,official HD_EPIC_YouTube_URLs.csv,https://data.bris.ac.uk/datasets/3cqb5b81wk2dc2379fx1mrxh47/Videos/P01/P01-20240202-161354.mp4,https://youtu.be/iJpqrt4Uefc,a13e897ebcb918b2b22b79df2b89dc02,
P01-20240202-161948,P01,769.6,official HD_EPIC_YouTube_URLs.csv,https://data.bris.ac.uk/datasets/3cqb5b81wk2dc2379fx1mrxh47/Videos/P01/P01-20240202-161948.mp4,https://youtu.be/I3ldXPd_d2g,2188da10085eefb06728714964b22558,
P01-20240202-171220,P01,513.0,official HD_EPIC_YouTube_URLs.csv,https://data.bris.ac.uk/datasets/3cqb5b81wk2dc2379fx1mrxh47/Videos/P01/P01-20240202-171220.mp4,https://youtu.be/Q_h1jmcIBAw,30b134f5f0b410bfa18c06099e8a0914,
P01-20240202-175627,P01,201.733333,official HD_EPIC_YouTube_URLs.csv,https://data.bris.ac.uk/datasets/3cqb5b81wk2dc2379fx1mrxh47/Videos/P01/P01-20240202-175627.mp4,https://youtu.be/Epjp1Isub4Q,f96e1dfc750ffb1c25e15fa51162f7be,
P01-20240202-195538,P01,537.433333,official HD_EPIC_YouTube_URLs.csv,https://data.bris.ac.uk/datasets/3cqb5b81wk2dc2379fx1mrxh47/Videos/P01/P01-20240202-195538.mp4,https://youtu.be/1faxLHsp5ZI,83493f38ba7effd64c221df7a6388d7b,
P01-20240203-093333,P01,173.333333,official HD_EPIC_YouTube_URLs.csv,https://data.bris.ac.uk/datasets/3cqb5b81wk2dc2379fx1mrxh47/Videos/P01/P01-20240203-093333.mp4,https://youtu.be/Do_CbEBOFro,b04706c8763216f98207eef121627eb2,
P01-20240203-121517,P01,473.133333,official HD_EPIC_YouTube_URLs.csv,https://data.bris.ac.uk/datasets/3cqb5b81wk2dc2379fx1mrxh47/Videos/P01/P01-20240203-121517.mp4,https://youtu.be/ozyqTW4FLFQ,2eefaf6dfec5a7ed710645ba0c3382ea,
P01-20240203-123350,P01,1753.833333,official HD_EPIC_YouTube_URLs.csv,https://data.bris.ac.uk/datasets/3cqb5b81wk2dc2379fx1mrxh47/Videos/P01/P01-20240203-123350.mp4,https://youtu.be/x4STmay8sKI,bd3c95e17b16561fb336444eb25a5255,
P01-20240203-130505,P01,828.7,official HD_EPIC_YouTube_URLs.csv,https://data.bris.ac.uk/datasets/3cqb5b81wk2dc2379fx1mrxh47/Videos/P01/P01-20240203-130505.mp4,https://youtu.be/HdDyqiLzT6g,f2401ec59f161bee658112811e5f2ab9,
