video_id,source_url,qa_count,duration_seconds,duration_status
Efk3K4epEzg,https://www.youtube.com/watch?v=Efk3K4epEzg,4,,not individually probed; paper mean1630.7s
7F5RQqUJfns,https://www.youtube.com/watch?v=7F5RQqUJfns,3,,not individually probed; paper mean1630.7s
j1XTIF3moDk,https://www.youtube.com/watch?v=j1XTIF3moDk,3,,not individually probed; paper mean1630.7s
Rvl4FRGjMtQ,https://www.youtube.com/watch?v=Rvl4FRGjMtQ,2,,not individually probed; paper mean1630.7s
7Dl0TQ5zDzM,https://www.youtube.com/watch?v=7Dl0TQ5zDzM,3,,not individually probed; paper mean1630.7s
oc-b4T7H-gM,https://www.youtube.com/watch?v=oc-b4T7H-gM,5,,not individually probed; paper mean1630.7s
6Unxpxy-Ct4,https://www.youtube.com/watch?v=6Unxpxy-Ct4,3,,not individually probed; paper mean1630.7s
F28sbYqrqLU,https://www.youtube.com/watch?v=F28sbYqrqLU,1,,not individually probed; paper mean1630.7s
IthMg3hNpPk,https://www.youtube.com/watch?v=IthMg3hNpPk,3,,not individually probed; paper mean1630.7s
PnvZZwlN2yk,https://www.youtube.com/watch?v=PnvZZwlN2yk,2,,not individually probed; paper mean1630.7s
n-B_kmAebbQ,https://www.youtube.com/watch?v=n-B_kmAebbQ,2,,not individually probed; paper mean1630.7s
jvUX3ocBSCk,https://www.youtube.com/watch?v=jvUX3ocBSCk,3,,not individually probed; paper mean1630.7s
UPk8fzT4t8o,https://www.youtube.com/watch?v=UPk8fzT4t8o,2,,not individually probed; paper mean1630.7s
oRapwDWgElQ,https://www.youtube.com/watch?v=oRapwDWgElQ,3,,not individually probed; paper mean1630.7s
8gmxrVMQUb0,https://www.youtube.com/watch?v=8gmxrVMQUb0,2,,not individually probed; paper mean1630.7s
6amK2BgjXk8,https://www.youtube.com/watch?v=6amK2BgjXk8,3,,not individually probed; paper mean1630.7s
qmQeskMASA0,https://www.youtube.com/watch?v=qmQeskMASA0,4,,not individually probed; paper mean1630.7s
rUgUEDTCGSo,https://www.youtube.com/watch?v=rUgUEDTCGSo,3,,not individually probed; paper mean1630.7s
3hsECQqpTw4,https://www.youtube.com/watch?v=3hsECQqpTw4,1,,not individually probed; paper mean1630.7s
Jqi8CYJ8OEM,https://www.youtube.com/watch?v=Jqi8CYJ8OEM,2,,not individually probed; paper mean1630.7s
4A8orzGYQRI,https://www.youtube.com/watch?v=4A8orzGYQRI,2,,not individually probed; paper mean1630.7s
nhtAkSW8v0M,https://www.youtube.com/watch?v=nhtAkSW8v0M,3,,not individually probed; paper mean1630.7s
02I8Ad7qkjQ,https://www.youtube.com/watch?v=02I8Ad7qkjQ,4,,not individually probed; paper mean1630.7s
FnU5j2sZEBE,https://www.youtube.com/watch?v=FnU5j2sZEBE,3,,not individually probed; paper mean1630.7s
LzAJ2Xdg8qI,https://www.youtube.com/watch?v=LzAJ2Xdg8qI,2,,not individually probed; paper mean1630.7s
lX6U4nOhm5w,https://www.youtube.com/watch?v=lX6U4nOhm5w,9,,not individually probed; paper mean1630.7s
uow257PdFCE,https://www.youtube.com/watch?v=uow257PdFCE,2,,not individually probed; paper mean1630.7s
JIp3Ce9WtGQ,https://www.youtube.com/watch?v=JIp3Ce9WtGQ,2,,not individually probed; paper mean1630.7s
nTG1gfvClYs,https://www.youtube.com/watch?v=nTG1gfvClYs,3,,not individually probed; paper mean1630.7s
pNvfLNztmAo,https://www.youtube.com/watch?v=pNvfLNztmAo,3,,not individually probed; paper mean1630.7s
zF5PO0mHD80,https://www.youtube.com/watch?v=zF5PO0mHD80,4,,not individually probed; paper mean1630.7s
Ipe9xJCfuTM,https://www.youtube.com/watch?v=Ipe9xJCfuTM,5,,not individually probed; paper mean1630.7s
CQl9Qp4zA9o,https://www.youtube.com/watch?v=CQl9Qp4zA9o,9,,not individually probed; paper mean1630.7s
Y1AEYUtZo9s,https://www.youtube.com/watch?v=Y1AEYUtZo9s,1,,not individually probed; paper mean1630.7s
eeumL7Fz-8M,https://www.youtube.com/watch?v=eeumL7Fz-8M,1,,not individually probed; paper mean1630.7s
qLc0-tUDdMU,https://www.youtube.com/watch?v=qLc0-tUDdMU,3,,not individually probed; paper mean1630.7s
sV__p7P4V6Y,https://www.youtube.com/watch?v=sV__p7P4V6Y,3,,not individually probed; paper mean1630.7s
EMpaw46kr2w,https://www.youtube.com/watch?v=EMpaw46kr2w,3,,not individually probed; paper mean1630.7s
hDBQTFg1YWI,https://www.youtube.com/watch?v=hDBQTFg1YWI,2,,not individually probed; paper mean1630.7s
FWGeUSoywDk,https://www.youtube.com/watch?v=FWGeUSoywDk,4,,not individually probed; paper mean1630.7s
rVq8mzgzfNo,https://www.youtube.com/watch?v=rVq8mzgzfNo,3,,not individually probed; paper mean1630.7s
nfrgOeb1AHY,https://www.youtube.com/watch?v=nfrgOeb1AHY,5,,not individually probed; paper mean1630.7s
SCwD715_c24,https://www.youtube.com/watch?v=SCwD715_c24,2,,not individually probed; paper mean1630.7s
aO-wNDaRBkk,https://www.youtube.com/watch?v=aO-wNDaRBkk,1,,not individually probed; paper mean1630.7s
p78K12jx_o4,https://www.youtube.com/watch?v=p78K12jx_o4,3,,not individually probed; paper mean1630.7s
0CSaXIue9aI,https://www.youtube.com/watch?v=0CSaXIue9aI,2,,not individually probed; paper mean1630.7s
h359LRmMZMU,https://www.youtube.com/watch?v=h359LRmMZMU,3,,not individually probed; paper mean1630.7s
LWEDJ_YgEaA,https://www.youtube.com/watch?v=LWEDJ_YgEaA,3,,not individually probed; paper mean1630.7s
DZOGCt4e02Q,https://www.youtube.com/watch?v=DZOGCt4e02Q,4,,not individually probed; paper mean1630.7s
D7mG_L1zkL8,https://www.youtube.com/watch?v=D7mG_L1zkL8,4,,not individually probed; paper mean1630.7s
UyXH2etBP80,https://www.youtube.com/watch?v=UyXH2etBP80,3,,not individually probed; paper mean1630.7s
lNVVNxtolyE,https://www.youtube.com/watch?v=lNVVNxtolyE,4,,not individually probed; paper mean1630.7s
1C40AQRqWxI,https://www.youtube.com/watch?v=1C40AQRqWxI,3,,not individually probed; paper mean1630.7s
0B5ZP2X7c8I,https://www.youtube.com/watch?v=0B5ZP2X7c8I,2,,not individually probed; paper mean1630.7s
ZXlvP9hJnZs,https://www.youtube.com/watch?v=ZXlvP9hJnZs,5,,not individually probed; paper mean1630.7s
2mbOKgPhen4,https://www.youtube.com/watch?v=2mbOKgPhen4,4,,not individually probed; paper mean1630.7s
5fQlj00cTM0,https://www.youtube.com/watch?v=5fQlj00cTM0,4,,not individually probed; paper mean1630.7s
un-Xy9msK4o,https://www.youtube.com/watch?v=un-Xy9msK4o,3,,not individually probed; paper mean1630.7s
Y3HxUfqfNmE,https://www.youtube.com/watch?v=Y3HxUfqfNmE,6,,not individually probed; paper mean1630.7s
VH85aZZ1PMY,https://www.youtube.com/watch?v=VH85aZZ1PMY,3,,not individually probed; paper mean1630.7s
j89TEXbRHXY,https://www.youtube.com/watch?v=j89TEXbRHXY,6,,not individually probed; paper mean1630.7s
2PJPREoLohI,https://www.youtube.com/watch?v=2PJPREoLohI,7,,not individually probed; paper mean1630.7s
BIGHp_NyW6o,https://www.youtube.com/watch?v=BIGHp_NyW6o,3,,not individually probed; paper mean1630.7s
oSVhdSuSISQ,https://www.youtube.com/watch?v=oSVhdSuSISQ,3,,not individually probed; paper mean1630.7s
sUaViquOfKs,https://www.youtube.com/watch?v=sUaViquOfKs,4,,not individually probed; paper mean1630.7s
NDIp0Vu9iII,https://www.youtube.com/watch?v=NDIp0Vu9iII,5,,not individually probed; paper mean1630.7s
DuyEq2I7YXM,https://www.youtube.com/watch?v=DuyEq2I7YXM,2,,not individually probed; paper mean1630.7s
GqUDWHUD2WY,https://www.youtube.com/watch?v=GqUDWHUD2WY,6,,not individually probed; paper mean1630.7s
2b-1LFjEMtI,https://www.youtube.com/watch?v=2b-1LFjEMtI,5,,not individually probed; paper mean1630.7s
DpNUCGoc_4U,https://www.youtube.com/watch?v=DpNUCGoc_4U,2,,not individually probed; paper mean1630.7s
3EZfbrk3Bco,https://www.youtube.com/watch?v=3EZfbrk3Bco,2,,not individually probed; paper mean1630.7s
gK4AkrKzbHo,https://www.youtube.com/watch?v=gK4AkrKzbHo,2,,not individually probed; paper mean1630.7s
oBEoqiZRIvg,https://www.youtube.com/watch?v=oBEoqiZRIvg,4,,not individually probed; paper mean1630.7s
ymvjfu_Hm_8,https://www.youtube.com/watch?v=ymvjfu_Hm_8,4,,not individually probed; paper mean1630.7s
acpjsCxV8U8,https://www.youtube.com/watch?v=acpjsCxV8U8,2,,not individually probed; paper mean1630.7s
jmXMtNnXHGU,https://www.youtube.com/watch?v=jmXMtNnXHGU,3,,not individually probed; paper mean1630.7s
7pKemn_SjFI,https://www.youtube.com/watch?v=7pKemn_SjFI,4,,not individually probed; paper mean1630.7s
NDsO1LT_0lw,https://www.youtube.com/watch?v=NDsO1LT_0lw,3,,not individually probed; paper mean1630.7s
SUtZcC6fVag,https://www.youtube.com/watch?v=SUtZcC6fVag,5,,not individually probed; paper mean1630.7s
afPVy0yiLRw,https://www.youtube.com/watch?v=afPVy0yiLRw,4,,not individually probed; paper mean1630.7s
-wzFQKrEDaM,https://www.youtube.com/watch?v=-wzFQKrEDaM,3,,not individually probed; paper mean1630.7s
PCSqrpAWq1s,https://www.youtube.com/watch?v=PCSqrpAWq1s,1,,not individually probed; paper mean1630.7s
Mdx2lWEjSak,https://www.youtube.com/watch?v=Mdx2lWEjSak,5,,not individually probed; paper mean1630.7s
