group,published_index,begin,end,published_duration_seconds,duration_kind
day,1,Day 1 00:00:00,Day 1 00:13:41,821,published_playback
day,2,Day 1 00:13:41,Day 1 00:54:14,2433,published_playback
day,3,Day 1 00:54:14,Day 1 01:46:40,3146,published_playback
day,4,Day 1 01:46:40,Day 1 02:16:39,1799,published_playback
day,5,Day 1 02:16:39,Day 1 03:15:07,3508,published_playback
day,6,Day 1 03:15:07,Day 1 04:10:32,3325,published_playback
day,7,Day 1 04:10:32,Day 1 04:54:35,2643,published_playback
day,8,Day 1 04:54:35,Day 1 06:02:21,4066,published_playback
day,9,Day 1 06:02:21,Day 1 06:41:32,2351,published_playback
day,10,Day 1 06:41:32,Day 1 07:02:28,1256,published_playback
day,11,Day 1 07:02:28,Day 1 07:46:41,2653,published_playback
day,12,Day 1 07:46:41,Day 1 08:37:39,3058,published_playback
day,13,Day 1 08:37:39,Day 1 09:29:30,3111,published_playback
day,14,Day 1 09:29:30,Day 1 10:20:29,3059,published_playback
day,15,Day 1 10:20:29,Day 1 11:14:59,3270,published_playback
day,16,Day 1 11:14:59,Day 1 11:51:49,2210,published_playback
day,17,Day 1 11:51:49,Day 1 12:22:52,1863,published_playback
day,18,Day 1 12:22:52,Day 1 13:08:51,2759,published_playback
day,19,Day 1 13:08:51,Day 1 13:58:56,3005,published_playback
day,20,Day 1 13:58:56,Day 1 14:33:17,2061,published_playback
day,21,Day 1 14:33:17,Day 1 15:33:47,3630,published_playback
day,22,Day 1 15:33:47,Day 1 16:20:36,2809,published_playback
day,23,Day 1 16:20:36,Day 1 17:32:13,4297,published_playback
day,24,Day 1 17:32:13,Day 1 18:25:02,3169,published_playback
day,25,Day 1 18:25:02,Day 1 19:13:35,2913,published_playback
day,26,Day 1 19:13:35,Day 1 20:08:42,3307,published_playback
day,27,Day 1 20:08:42,Day 1 20:42:44,2042,published_playback
day,28,Day 1 20:42:44,Day 1 21:21:19,2315,published_playback
day,29,Day 1 21:21:19,Day 1 22:08:13,2814,published_playback
day,30,Day 1 22:08:13,Day 1 22:47:38,2365,published_playback
day,31,Day 1 22:47:38,Day 1 23:35:14,2856,published_playback
month,1,02-28T17:00:51Z,03-01T04:59:01Z,42900,published_playback
month,2,03-01T04:59:32Z,03-01T06:52:59Z,6813,published_playback
month,3,03-01T17:00:16Z,03-01T21:10:17Z,14740,published_playback
month,4,03-02T18:00:12Z,03-02T22:00:22Z,14421,published_playback
month,5,03-05T22:16:34Z,03-05T23:13:35Z,3430,published_playback
month,6,03-06T17:31:51Z,03-06T21:00:34Z,12535,published_playback
month,7,03-07T14:19:28Z,03-07T16:11:38Z,6740,published_playback
month,8,03-08T13:29:35Z,03-08T15:02:49Z,5604,published_playback
month,9,03-08T17:32:44Z,03-08T18:12:22Z,2390,published_playback
month,10,03-12T17:15:50Z,03-12T20:06:57Z,10259,published_playback
month,11,03-14T17:30:22Z,03-14T20:46:29Z,11777,published_playback
month,12,03-16T16:00:20Z,03-16T20:14:46Z,15203,published_playback
month,13,03-19T16:00:45Z,03-19T18:55:28Z,10466,published_playback
month,14,03-24T06:00:05Z,03-24T12:19:50Z,22799,published_playback
month,15,03-26T01:29:56Z,03-26T07:39:35Z,22191,published_playback
month,16,03-28T05:45:53Z,03-28T10:35:38Z,17396,published_playback
month,17,03-31T06:31:41Z,03-31T11:54:51Z,19402,published_playback
month,18,04-02T07:00:25Z,04-02T13:31:41Z,23485,published_playback
month,19,04-04T01:18:06Z,04-04T10:57:34Z,34777,published_playback
month,20,04-05T06:31:19Z,04-05T12:14:24Z,20594,published_playback
month,21,04-07T08:01:01Z,04-07T14:05:28Z,21702,published_playback
month,22,04-11T03:15:17Z,04-11T08:25:16Z,18173,published_playback
month,23,04-20T16:00:13Z,04-20T22:30:30Z,22504,published_playback
week_daily_span,1,Day 1 11:09:42.08,Day 1 22:05:49.11,39367,daily_clock_span_not_playback
week_daily_span,2,Day 2 10:44:25.06,Day 2 22:58:25.00,44040,daily_clock_span_not_playback
week_daily_span,3,Day 3 11:17:27.02,Day 3 22:51:33.07,41646,daily_clock_span_not_playback
week_daily_span,4,Day 4 10:48:20.00,Day 4 22:24:34.18,41774,daily_clock_span_not_playback
week_daily_span,5,Day 5 11:00:31.00,Day 5 23:29:46.08,44955,daily_clock_span_not_playback
week_daily_span,6,Day 6 09:49:33.00,Day 6 22:16:59.01,44846,daily_clock_span_not_playback
week_daily_span,7,Day 7 11:56:08.17,Day 7 20:16:15.08,30007,daily_clock_span_not_playback
