id,task,release_model,source_url,duration_seconds,frames,fps,width,height,size_bytes,sha256,status
observe_and_pickup-episode0,observe_and_pickup,Mem-0-m1mix-RMBench,https://huggingface.co/qiuly/Mem-0-m1mix-RMBench/resolve/main/eval_results/observe_and_pickup/episode0.mp4,25.0,250,10.0,320,240,138870,802a2940a6ca232cd8d5ce79fca23b87c4b6c7f092be3707b2b21ce787d91664,ready
observe_and_pickup-episode1,observe_and_pickup,Mem-0-m1mix-RMBench,https://huggingface.co/qiuly/Mem-0-m1mix-RMBench/resolve/main/eval_results/observe_and_pickup/episode1.mp4,25.0,250,10.0,320,240,152590,9a51cf6929c0a5007029b8a255faa329e429ebcd356b86bbcff528bd66430e74,ready
put_back_block-episode0,put_back_block,Mem-0-m1mix-RMBench,https://huggingface.co/qiuly/Mem-0-m1mix-RMBench/resolve/main/eval_results/put_back_block/episode0.mp4,35.4,354,10.0,320,240,317840,3bc38f6325a9ebd768ba018cd37c6784a760c0e8e73eac45b57e8ca534566b4f,ready
put_back_block-episode1,put_back_block,Mem-0-m1mix-RMBench,https://huggingface.co/qiuly/Mem-0-m1mix-RMBench/resolve/main/eval_results/put_back_block/episode1.mp4,35.6,356,10.0,320,240,316867,4bc4755bc77de38b442782454a4186dea962d9f6164a613e1ea3e0dd9332710e,ready
rearrange_blocks-episode0,rearrange_blocks,Mem-0-m1mix-RMBench,https://huggingface.co/qiuly/Mem-0-m1mix-RMBench/resolve/main/eval_results/rearrange_blocks/episode0.mp4,38.6,386,10.0,320,240,357625,8475c41f5c8232f46d2b915995e30e298361e76866d66329d06694a1028fa60f,ready
rearrange_blocks-episode1,rearrange_blocks,Mem-0-m1mix-RMBench,https://huggingface.co/qiuly/Mem-0-m1mix-RMBench/resolve/main/eval_results/rearrange_blocks/episode1.mp4,39.8,398,10.0,320,240,368464,c8b879fd25e358e9e185ae9509e8fa94c6284f612da5bc1300ea3188db0c4489,ready
swap_T-episode0,swap_T,Mem-0-m1mix-RMBench,https://huggingface.co/qiuly/Mem-0-m1mix-RMBench/resolve/main/eval_results/swap_T/episode0.mp4,60.0,600,10.0,320,240,689797,c11579da9dab49c442e5e09e9cdfa4b8a51ff37ea620446c250ead6e2a23e8a3,ready
swap_T-episode1,swap_T,Mem-0-m1mix-RMBench,https://huggingface.co/qiuly/Mem-0-m1mix-RMBench/resolve/main/eval_results/swap_T/episode1.mp4,60.0,600,10.0,320,240,677984,15730d57f04893c8a3270b3bbe3066c0f6284605dc8101f3c56dd90636bf095f,ready
swap_blocks-episode0,swap_blocks,Mem-0-m1mix-RMBench,https://huggingface.co/qiuly/Mem-0-m1mix-RMBench/resolve/main/eval_results/swap_blocks/episode0.mp4,58.5,585,10.0,320,240,554905,0633eac66d7b02f315284c471349fc0344eebb26afcc5b112ae5c02aa2bb41fe,ready
swap_blocks-episode1,swap_blocks,Mem-0-m1mix-RMBench,https://huggingface.co/qiuly/Mem-0-m1mix-RMBench/resolve/main/eval_results/swap_blocks/episode1.mp4,58.8,588,10.0,320,240,556284,b9a8b023072f70321e068a57caa6f2fc449650e05ed7609795c3b5e226899808,ready
battery_try-episode0,battery_try,Mem-0-mn-RMBench,https://huggingface.co/qiuly/Mem-0-mn-RMBench/resolve/main/eval_results/battery_try/episode0.mp4,100.0,1000,10.0,320,240,1113253,719f5bcfd956ffb97d4a0c91e6ba8447a1b9158cd599be4c22dddab2447d25ef,ready
battery_try-episode1,battery_try,Mem-0-mn-RMBench,https://huggingface.co/qiuly/Mem-0-mn-RMBench/resolve/main/eval_results/battery_try/episode1.mp4,100.0,1000,10.0,320,240,1069489,561ec0ecaff5eecd603ae3b3611cde5920321c87605eab8fca85d4a6977acf03,ready
blocks_ranking_try-episode0,blocks_ranking_try,Mem-0-mn-RMBench,https://huggingface.co/qiuly/Mem-0-mn-RMBench/resolve/main/eval_results/blocks_ranking_try/episode0.mp4,350.0,3500,10.0,320,240,2982530,e665d86f88f5efe1df279106dfb619eb0d93efacbefb0dedc4aec67e95b001d2,ready
blocks_ranking_try-episode1,blocks_ranking_try,Mem-0-mn-RMBench,https://huggingface.co/qiuly/Mem-0-mn-RMBench/resolve/main/eval_results/blocks_ranking_try/episode1.mp4,350.0,3500,10.0,320,240,2852483,0da1aef483fda0be024ab67a99e2327753fe874f3ce44a59e4e777c12f5df3b4,ready
cover_blocks-episode0,cover_blocks,Mem-0-mn-RMBench,https://huggingface.co/qiuly/Mem-0-mn-RMBench/resolve/main/eval_results/cover_blocks/episode0.mp4,99.6,996,10.0,320,240,934573,76ed8185ed924b6a440ddd24fdd065dac4c4221950fe085efe8fa04da21dcd15,ready
cover_blocks-episode1,cover_blocks,Mem-0-mn-RMBench,https://huggingface.co/qiuly/Mem-0-mn-RMBench/resolve/main/eval_results/cover_blocks/episode1.mp4,101.3,1013,10.0,320,240,940446,4bd5162c17db5179e52f6891df9ab5484b456a415a154846a2bba0e260ca8ee2,ready
press_button-episode0,press_button,Mem-0-mn-RMBench,https://huggingface.co/qiuly/Mem-0-mn-RMBench/resolve/main/eval_results/press_button/episode0.mp4,150.0,1500,10.0,320,240,855669,a10f3559189d9378cf28e2e4108dc19e66a79a18fd446a2c3ad7a5e59c73000a,ready
press_button-episode1,press_button,Mem-0-mn-RMBench,https://huggingface.co/qiuly/Mem-0-mn-RMBench/resolve/main/eval_results/press_button/episode1.mp4,150.0,1500,10.0,320,240,908373,bc02e5c974ff4d44a9b7a008b25406bbb28ae54d6c93034221d5bc8fcd9b5dc3,ready
