task,source_class,reported_rounded_median_seconds,reported_n_episodes,source_file,benchmark_class
AdjustToasterOvenTemperature,atomic,19,,atomic_episode_lengths.js,atomic
AdjustWaterTemperature,atomic,16,,atomic_episode_lengths.js,atomic
CloseBlenderLid,atomic,17,,atomic_episode_lengths.js,atomic
CloseCabinet,atomic,25,,atomic_episode_lengths.js,atomic
CloseDishwasher,atomic,26,,atomic_episode_lengths.js,atomic
CloseDrawer,atomic,19,,atomic_episode_lengths.js,atomic
CloseElectricKettleLid,atomic,7,,atomic_episode_lengths.js,atomic
CloseFridge,atomic,40,,atomic_episode_lengths.js,atomic
CloseFridgeDrawer,atomic,7,,atomic_episode_lengths.js,atomic
CloseMicrowave,atomic,23,,atomic_episode_lengths.js,atomic
CloseOven,atomic,14,,atomic_episode_lengths.js,atomic
CloseStandMixerHead,atomic,9,,atomic_episode_lengths.js,atomic
CloseToasterOvenDoor,atomic,12,,atomic_episode_lengths.js,atomic
CoffeeServeMug,atomic,28,,atomic_episode_lengths.js,atomic
CoffeeSetupMug,atomic,31,,atomic_episode_lengths.js,atomic
NavigateKitchen,atomic,7,,atomic_episode_lengths.js,atomic
OpenBlenderLid,atomic,9,,atomic_episode_lengths.js,atomic
OpenCabinet,atomic,35,,atomic_episode_lengths.js,atomic
OpenDishwasher,atomic,25,,atomic_episode_lengths.js,atomic
OpenDrawer,atomic,24,,atomic_episode_lengths.js,atomic
OpenElectricKettleLid,atomic,8,,atomic_episode_lengths.js,atomic
OpenFridge,atomic,39,,atomic_episode_lengths.js,atomic
OpenFridgeDrawer,atomic,8,,atomic_episode_lengths.js,atomic
OpenMicrowave,atomic,23,,atomic_episode_lengths.js,atomic
OpenOven,atomic,12,,atomic_episode_lengths.js,atomic
OpenStandMixerHead,atomic,8,,atomic_episode_lengths.js,atomic
OpenToasterOvenDoor,atomic,14,,atomic_episode_lengths.js,atomic
PickPlaceCabinetToCounter,atomic,28,,atomic_episode_lengths.js,atomic
PickPlaceCounterToBlender,atomic,18,,atomic_episode_lengths.js,atomic
PickPlaceCounterToCabinet,atomic,22,,atomic_episode_lengths.js,atomic
PickPlaceCounterToDrawer,atomic,12,,atomic_episode_lengths.js,atomic
PickPlaceCounterToMicrowave,atomic,39,,atomic_episode_lengths.js,atomic
