task,type,max_control_steps,nominal_seconds_at_20hz,has_pretrain,has_target
AdjustToasterOvenTemperature,atomic,450,22.5,True,False
AdjustWaterTemperature,atomic,450,22.5,True,False
CloseBlenderLid,atomic,900,45.0,True,True
CloseCabinet,atomic,750,37.5,True,False
CloseDishwasher,atomic,300,15.0,True,False
CloseDrawer,atomic,450,22.5,True,False
CloseElectricKettleLid,atomic,300,15.0,True,False
CloseFridge,atomic,900,45.0,True,True
CloseFridgeDrawer,atomic,450,22.5,True,False
CloseMicrowave,atomic,450,22.5,True,False
CloseOven,atomic,450,22.5,True,False
CloseStandMixerHead,atomic,450,22.5,True,False
CloseToasterOvenDoor,atomic,450,22.5,True,True
CoffeeServeMug,atomic,450,22.5,True,False
CoffeeSetupMug,atomic,600,30.0,True,True
NavigateKitchen,atomic,450,22.5,True,True
OpenBlenderLid,atomic,450,22.5,True,False
OpenCabinet,atomic,1050,52.5,True,True
OpenDishwasher,atomic,450,22.5,True,False
OpenDrawer,atomic,750,37.5,True,True
OpenElectricKettleLid,atomic,300,15.0,True,False
OpenFridge,atomic,900,45.0,True,False
OpenFridgeDrawer,atomic,450,22.5,True,False
OpenMicrowave,atomic,600,30.0,True,False
OpenOven,atomic,300,15.0,True,False
OpenStandMixerHead,atomic,450,22.5,True,True
OpenToasterOvenDoor,atomic,450,22.5,True,False
PickPlaceCabinetToCounter,atomic,450,22.5,True,False
PickPlaceCounterToBlender,atomic,750,37.5,True,False
PickPlaceCounterToCabinet,atomic,750,37.5,True,True
PickPlaceCounterToDrawer,atomic,750,37.5,True,False
PickPlaceCounterToMicrowave,atomic,1050,52.5,True,False
PickPlaceCounterToOven,atomic,600,30.0,True,False
PickPlaceCounterToSink,atomic,600,30.0,True,False
PickPlaceCounterToStandMixer,atomic,600,30.0,True,False
PickPlaceCounterToStove,atomic,600,30.0,True,True
PickPlaceCounterToToasterOven,atomic,450,22.5,True,False
PickPlaceDrawerToCounter,atomic,750,37.5,True,True
PickPlaceFridgeDrawerToShelf,atomic,600,30.0,True,False
PickPlaceFridgeShelfToDrawer,atomic,600,30.0,True,False
PickPlaceMicrowaveToCounter,atomic,750,37.5,True,False
PickPlaceSinkToCounter,atomic,900,45.0,True,True
PickPlaceStoveToCounter,atomic,450,22.5,True,False
PickPlaceToasterOvenToCounter,atomic,450,22.5,True,False
PickPlaceToasterToCounter,atomic,600,30.0,True,True
PreheatOven,atomic,450,22.5,True,False
SlideDishwasherRack,atomic,450,22.5,True,True
SlideOvenRack,atomic,450,22.5,True,False
SlideToasterOvenRack,atomic,300,15.0,True,False
StartCoffeeMachine,atomic,300,15.0,True,False
TurnOffMicrowave,atomic,300,15.0,True,False
TurnOffSinkFaucet,atomic,300,15.0,True,False
TurnOffStove,atomic,750,37.5,True,True
