id,group_id,task,source_url,duration_seconds,frames,fps,width,height,size_bytes,sha256,status
sim-v2-cover_blocks,memory,cover_blocks,https://media.luminis-sim.com/media/home/sim-v2/cover_blocks.mp4,22.24,556,25.0,480,360,288343,e56cf06d872ae8110b1f0aba0c474c7b08401fd6d9e507ec363e93d097195061,ready
sim-v2-match_and_pick_from_conveyor,memory,match_and_pick_from_conveyor,https://media.luminis-sim.com/media/home/sim-v2/match_and_pick_from_conveyor.mp4,19.0,475,25.0,480,360,89379,729ea44065a2c246ccad55b63c331ac938f818e585145482845d012f9ff30994,ready
sim-v2-swap_blocks,memory,swap_blocks,https://media.luminis-sim.com/media/home/sim-v2/swap_blocks.mp4,17.8,445,25.0,480,360,197493,4afffd9d496e989cfb70c597e315e0c2b2e9260b8eb9f925ea06c2a387ae546c,ready
sim-v2-swap_T,memory,swap_T,https://media.luminis-sim.com/media/home/sim-v2/swap_T.mp4,10.92,273,25.0,480,360,164887,a49db38369dfe21080438949f7e7b1fb5c140f5fda809542e80e55ce94c5bd56,ready
sim-v2-press_by_number,memory,press_by_number,https://media.luminis-sim.com/media/home/sim-v2/press_by_number.mp4,15.12,378,25.0,480,360,178118,ce59619707cf85be7044dc87e88e35115ff16631424507a5337a0c4b2785da23,ready
sim-v2-imitate_sorting_sequence,memory,imitate_sorting_sequence,https://media.luminis-sim.com/media/home/sim-v2/imitate_sorting_sequence.mp4,47.52,1188,25.0,480,360,513844,6cd49504520a7acaeaaae6de55028d6c7eb6cc5e6aff4868dbf5af967fb9e018,ready
sim-v2-classify_objects,long_horizon,classify_objects,https://media.luminis-sim.com/media/home/sim-v2/classify_objects.mp4,29.92,748,25.0,480,360,388071,15719835b6c4a919c07bfa116f0172e133289dac0e440f54d3490dbc81cda64d,ready
sim-v2-organize_table,long_horizon,organize_table,https://media.luminis-sim.com/media/home/sim-v2/organize_table.mp4,33.56,839,25.0,480,360,336860,0d727ceb40db9a9e6e0046614200fd9e0853a692992e6418e9adb9ccaba7086f,ready
sim-v2-play_tic_tac_toe,long_horizon,play_tic_tac_toe,https://media.luminis-sim.com/media/home/sim-v2/play_tic_tac_toe.mp4,35.36,884,25.0,480,360,346891,a0161f83db99d4892c2ff863d2180ee8ecb5e836d16e8310f9c8ffb7aa05bb99,ready
sim-v2-stack_bowls,generalization,stack_bowls,https://media.luminis-sim.com/media/home/sim-v2/stack_bowls.mp4,16.56,414,25.0,480,360,171217,4993f5f38645136652b717bebbbc5a34b1a1310b72e630024883df4619180872,ready
sim-v2-fold_clothes,generalization,fold_clothes,https://media.luminis-sim.com/media/home/sim-v2/fold_clothes.mp4,12.04,301,25.0,480,360,181726,d13dd27ed0c1d76cc666c738e7a6ac65180688a3b7d5ebd86f647a2993b97c7e,ready
sim-v2-insert_tubes,precision,insert_tubes,https://media.luminis-sim.com/media/home/sim-v2/insert_tubes.mp4,12.8,320,25.0,480,360,165747,020a954ec4c33b2c67e00455486f8f291137c974f8906ee13b012f37efb7c0d2,ready
sim-v2-fasten_screws,precision,fasten_screws,https://media.luminis-sim.com/media/home/sim-v2/fasten_screws.mp4,60.44,1511,25.0,480,360,512800,ca05cbf30518b2c308ceb22be80bc16cf1474633fbbc3b5992347ecbb100a236,ready
sim-v2-classify_objects_by_language,open,classify_objects_by_language,https://media.luminis-sim.com/media/home/sim-v2/classify_objects_by_language.mp4,65.72,1643,25.0,480,360,787827,58b42c121b5707ec1a1a59515add43d883dfa6f4b19ebc2a50ab27d493e8455c,ready
sim-v2-pour_by_language,open,pour_by_language,https://media.luminis-sim.com/media/home/sim-v2/pour_by_language.mp4,6.72,168,25.0,480,360,66943,e4efd98e6d725277a255cf434d5008c0d4d5e0b570a52563c6f1869311251e90,ready
real-v2-cover_blocks,real,cover_blocks,https://media.luminis-sim.com/media/home/real-v2/cover_blocks.mp4,32.86666666666667,986,30.0,480,360,433479,a50cbbded06ea7e96cd12920f6d677152390f75de0e25f4ae8e4d8e14d464d49,ready
real-v2-classify_objects,real,classify_objects,https://media.luminis-sim.com/media/home/real-v2/classify_objects.mp4,42.84,1071,25.0,480,360,530393,60600c42e1275eda879a70443dd43af368d2bb5782377d61acc42f2a78a98b18,ready
real-v2-stack_bowls,real,stack_bowls,https://media.luminis-sim.com/media/home/real-v2/stack_bowls.mp4,22.066666666666666,662,30.0,480,360,206619,2641faf58b9849083e4063bf8ac28e93d98fef1f2b2c8c94e3a8e9433c68a322,ready
