path,title,kind,paper_slug,file_uri
index.html,论文与数据集主目录,catalog,,file:///mnt/workspace/private/ztsong/day-long-mem/index.html
datasets/egolife/overview.html,EgoLife · 数据概览,overview,egolife,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/egolife/overview.html
overview.html,EgoLife · 原详细 overview,overview,egolife,file:///mnt/workspace/private/ztsong/day-long-mem/overview.html
datasets/m3-agent/overview.html,M3-Agent / M3-Bench：机器人与网络视频 · 数据概览,overview,m3-agent,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/m3-agent/overview.html
datasets/worldmm/overview.html,WorldMM：五个既有长视频基准 · 数据概览,overview,worldmm,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/worldmm/overview.html
datasets/mm-lifelong/overview.html,MM-Lifelong / ReMA：日、周、月 · 数据概览,overview,mm-lifelong,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/mm-lifelong/overview.html
datasets/egagent/overview.html,EGAgent：EgoLife 与 Video-MME · 数据概览,overview,egagent,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/egagent/overview.html
datasets/magic-video/overview.html,MAGIC-Video：EgoLife 与 MM-Lifelong · 数据概览,overview,magic-video,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/magic-video/overview.html
datasets/ella/overview.html,Ella — Embodied Social Agents with Lifelong Memory · 数据概览,overview,ella,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/ella/overview.html
datasets/egomem/overview.html,EgoMem — Full-duplex Lifelong Memory Agent · 数据概览,overview,egomem,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/egomem/overview.html
datasets/supermemory-vqa/overview.html,SuperMemory-VQA · 数据概览,overview,supermemory-vqa,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/supermemory-vqa/overview.html
datasets/smb/overview.html,SMB — Spatial Memory Benchmark / LTE · 数据概览,overview,smb,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/smb/overview.html
datasets/halo/overview.html,HALO / ReMemBench · 数据概览,overview,halo,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/halo/overview.html
datasets/memer/overview.html,MemER: Scaling Up Memory for Robot Control via Experience Retrieval · 数据概览,overview,memer,file:///mnt/workspace/private/ztsong/day-long-mem/datasets/memer/overview.html
