participant,day,clips,size_bytes,nominal_hours,first_clip_start_code,last_clip_start_code,duration_basis
A1_JAKE,DAY1,828,13251331300,6.9,11094208,22053000,clip_count_x_30_seconds_not_exact_total
A1_JAKE,DAY2,854,13373095043,7.116666666666666,10442506,22580000,clip_count_x_30_seconds_not_exact_total
A1_JAKE,DAY3,910,16612268591,7.583333333333333,11172702,22513000,clip_count_x_30_seconds_not_exact_total
A1_JAKE,DAY4,953,15533866185,7.941666666666666,10482000,22243000,clip_count_x_30_seconds_not_exact_total
A1_JAKE,DAY5,946,16287904055,7.883333333333334,11003100,23293000,clip_count_x_30_seconds_not_exact_total
A1_JAKE,DAY6,1068,16991441563,8.9,09493300,22163000,clip_count_x_30_seconds_not_exact_total
A1_JAKE,DAY7,707,10732162527,5.891666666666667,11560817,20160000,clip_count_x_30_seconds_not_exact_total
A2_ALICE,DAY1,797,12944610991,6.641666666666667,11092500,22030000,clip_count_x_30_seconds_not_exact_total
A2_ALICE,DAY2,866,12511816287,7.216666666666667,10434818,22573000,clip_count_x_30_seconds_not_exact_total
A2_ALICE,DAY3,835,15319421221,6.958333333333333,11344701,22500000,clip_count_x_30_seconds_not_exact_total
A2_ALICE,DAY4,617,8929074636,5.141666666666667,10501310,22243000,clip_count_x_30_seconds_not_exact_total
A2_ALICE,DAY5,672,10696867611,5.6,11160008,21023000,clip_count_x_30_seconds_not_exact_total
A2_ALICE,DAY6,1107,16755139584,9.225,10020717,21360000,clip_count_x_30_seconds_not_exact_total
A2_ALICE,DAY7,621,8447554605,5.175,12040416,19310000,clip_count_x_30_seconds_not_exact_total
A3_TASHA,DAY1,771,12448043295,6.425,11093015,20453000,clip_count_x_30_seconds_not_exact_total
A3_TASHA,DAY2,712,10505580993,5.933333333333334,10434516,22370000,clip_count_x_30_seconds_not_exact_total
A3_TASHA,DAY3,688,12171708814,5.733333333333333,11441116,23083000,clip_count_x_30_seconds_not_exact_total
A3_TASHA,DAY4,844,14056701086,7.033333333333333,11140612,22193000,clip_count_x_30_seconds_not_exact_total
A3_TASHA,DAY5,567,9657293387,4.725,11392108,22330000,clip_count_x_30_seconds_not_exact_total
A3_TASHA,DAY6,880,14518077963,7.333333333333333,10125906,21110000,clip_count_x_30_seconds_not_exact_total
A3_TASHA,DAY7,382,5112331384,3.183333333333333,12045204,18343000,clip_count_x_30_seconds_not_exact_total
A4_LUCIA,DAY1,809,13145480834,6.741666666666666,11095607,22023000,clip_count_x_30_seconds_not_exact_total
A4_LUCIA,DAY2,738,11116973411,6.15,10460712,22573000,clip_count_x_30_seconds_not_exact_total
A4_LUCIA,DAY3,850,16071372366,7.083333333333333,11334514,22500000,clip_count_x_30_seconds_not_exact_total
A4_LUCIA,DAY4,674,11102466749,5.616666666666666,11262317,22243000,clip_count_x_30_seconds_not_exact_total
A4_LUCIA,DAY5,708,13559189512,5.9,11355014,22550000,clip_count_x_30_seconds_not_exact_total
A4_LUCIA,DAY6,939,15390779063,7.825,10284408,21363000,clip_count_x_30_seconds_not_exact_total
A4_LUCIA,DAY7,548,7998702107,4.566666666666666,12521405,19403000,clip_count_x_30_seconds_not_exact_total
A5_KATRINA,DAY1,759,11707362291,6.325,11094606,22030000,clip_count_x_30_seconds_not_exact_total
A5_KATRINA,DAY2,700,10089726505,5.833333333333333,10394602,22573000,clip_count_x_30_seconds_not_exact_total
A5_KATRINA,DAY3,883,15446769341,7.358333333333333,11204712,22340000,clip_count_x_30_seconds_not_exact_total
A5_KATRINA,DAY4,741,11439492501,6.175,11033618,22240000,clip_count_x_30_seconds_not_exact_total
A5_KATRINA,DAY5,708,11998146272,5.9,11404708,23180000,clip_count_x_30_seconds_not_exact_total
A5_KATRINA,DAY6,657,9964490775,5.475,10081108,22103000,clip_count_x_30_seconds_not_exact_total
A5_KATRINA,DAY7,358,4348310036,2.9833333333333334,12022707,18323000,clip_count_x_30_seconds_not_exact_total
A6_SHURE,DAY1,753,11540794934,6.275,11094410,22093000,clip_count_x_30_seconds_not_exact_total
A6_SHURE,DAY2,548,8250561784,4.566666666666666,15255216,22330000,clip_count_x_30_seconds_not_exact_total
A6_SHURE,DAY3,862,15779347936,7.183333333333334,11283618,22280000,clip_count_x_30_seconds_not_exact_total
A6_SHURE,DAY4,985,14948504050,8.208333333333334,10493100,22280000,clip_count_x_30_seconds_not_exact_total
A6_SHURE,DAY5,717,10474915906,5.975,11060908,22583000,clip_count_x_30_seconds_not_exact_total
A6_SHURE,DAY6,945,13919541625,7.875,10282910,21360000,clip_count_x_30_seconds_not_exact_total
A6_SHURE,DAY7,494,7076710991,4.116666666666666,10455500,17363000,clip_count_x_30_seconds_not_exact_total
