path,participant,day,duration_seconds,fps,width,height,size_bytes,bytes_fetched,source_url
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_12183000.mp4,A1_JAKE,DAY1,30.0,20.0,640,240,805811,84915,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_12183000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_17283000.mp4,A1_JAKE,DAY1,30.0,20.0,640,240,894986,108554,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_17283000.mp4
EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_20053000.mp4,A1_JAKE,DAY1,30.0,20.0,640,240,653615,129327,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY1/DAY1_A1_JAKE_20053000.mp4
EyeTracking/A1_JAKE/DAY2/DAY2_A1_JAKE_11550000.mp4,A1_JAKE,DAY2,30.0,20.0,640,240,629609,105321,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY2/DAY2_A1_JAKE_11550000.mp4
EyeTracking/A1_JAKE/DAY2/DAY2_A1_JAKE_16413000.mp4,A1_JAKE,DAY2,30.0,20.0,640,240,693964,104140,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY2/DAY2_A1_JAKE_16413000.mp4
EyeTracking/A1_JAKE/DAY2/DAY2_A1_JAKE_21213000.mp4,A1_JAKE,DAY2,30.0,20.0,640,240,824763,103867,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY2/DAY2_A1_JAKE_21213000.mp4
EyeTracking/A1_JAKE/DAY3/DAY3_A1_JAKE_15200000.mp4,A1_JAKE,DAY3,30.0,20.0,640,240,1056704,73664,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY3/DAY3_A1_JAKE_15200000.mp4
EyeTracking/A1_JAKE/DAY3/DAY3_A1_JAKE_20473000.mp4,A1_JAKE,DAY3,30.0,20.0,640,240,661929,137641,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY3/DAY3_A1_JAKE_20473000.mp4
EyeTracking/A1_JAKE/DAY4/DAY4_A1_JAKE_12470000.mp4,A1_JAKE,DAY4,30.0,20.0,640,240,882129,95697,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY4/DAY4_A1_JAKE_12470000.mp4
EyeTracking/A1_JAKE/DAY4/DAY4_A1_JAKE_18333000.mp4,A1_JAKE,DAY4,30.0,20.0,640,240,688225,98401,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY4/DAY4_A1_JAKE_18333000.mp4
EyeTracking/A1_JAKE/DAY5/DAY5_A1_JAKE_12593000.mp4,A1_JAKE,DAY5,30.0,20.0,640,240,744152,88792,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY5/DAY5_A1_JAKE_12593000.mp4
EyeTracking/A1_JAKE/DAY5/DAY5_A1_JAKE_20233000.mp4,A1_JAKE,DAY5,30.0,20.0,640,240,830234,109338,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY5/DAY5_A1_JAKE_20233000.mp4
EyeTracking/A1_JAKE/DAY6/DAY6_A1_JAKE_11183000.mp4,A1_JAKE,DAY6,30.0,20.0,640,240,1146758,98182,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY6/DAY6_A1_JAKE_11183000.mp4
EyeTracking/A1_JAKE/DAY6/DAY6_A1_JAKE_15580000.mp4,A1_JAKE,DAY6,30.0,20.0,640,240,743016,87656,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY6/DAY6_A1_JAKE_15580000.mp4
EyeTracking/A1_JAKE/DAY6/DAY6_A1_JAKE_20480000.mp4,A1_JAKE,DAY6,30.0,20.0,640,240,808467,87571,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY6/DAY6_A1_JAKE_20480000.mp4
EyeTracking/A1_JAKE/DAY7/DAY7_A1_JAKE_12543000.mp4,A1_JAKE,DAY7,30.0,20.0,640,240,777775,122415,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY7/DAY7_A1_JAKE_12543000.mp4
EyeTracking/A1_JAKE/DAY7/DAY7_A1_JAKE_15213000.mp4,A1_JAKE,DAY7,30.0,20.0,640,240,725950,136126,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY7/DAY7_A1_JAKE_15213000.mp4
EyeTracking/A1_JAKE/DAY7/DAY7_A1_JAKE_19173000.mp4,A1_JAKE,DAY7,30.0,20.0,640,240,801717,80821,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A1_JAKE/DAY7/DAY7_A1_JAKE_19173000.mp4
EyeTracking/A2_ALICE/DAY1/DAY1_A2_ALICE_12530000.mp4,A2_ALICE,DAY1,30.0,20.0,640,240,508921,115705,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A2_ALICE/DAY1/DAY1_A2_ALICE_12530000.mp4
EyeTracking/A2_ALICE/DAY1/DAY1_A2_ALICE_19223000.mp4,A2_ALICE,DAY1,30.0,20.0,640,240,943876,91908,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A2_ALICE/DAY1/DAY1_A2_ALICE_19223000.mp4
EyeTracking/A2_ALICE/DAY2/DAY2_A2_ALICE_13033000.mp4,A2_ALICE,DAY2,30.0,20.0,640,240,203548,138012,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A2_ALICE/DAY2/DAY2_A2_ALICE_13033000.mp4
EyeTracking/A2_ALICE/DAY2/DAY2_A2_ALICE_21093000.mp4,A2_ALICE,DAY2,30.0,20.0,640,240,814187,93291,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A2_ALICE/DAY2/DAY2_A2_ALICE_21093000.mp4
EyeTracking/A2_ALICE/DAY3/DAY3_A2_ALICE_15273000.mp4,A2_ALICE,DAY3,30.0,20.0,640,240,1015737,98233,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A2_ALICE/DAY3/DAY3_A2_ALICE_15273000.mp4
EyeTracking/A2_ALICE/DAY3/DAY3_A2_ALICE_21060000.mp4,A2_ALICE,DAY3,30.0,20.0,640,240,588662,129910,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A2_ALICE/DAY3/DAY3_A2_ALICE_21060000.mp4
EyeTracking/A2_ALICE/DAY4/DAY4_A2_ALICE_11410000.mp4,A2_ALICE,DAY4,30.0,20.0,640,240,466148,138468,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A2_ALICE/DAY4/DAY4_A2_ALICE_11410000.mp4
EyeTracking/A2_ALICE/DAY4/DAY4_A2_ALICE_13240000.mp4,A2_ALICE,DAY4,30.0,20.0,640,240,610459,86171,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A2_ALICE/DAY4/DAY4_A2_ALICE_13240000.mp4
EyeTracking/A2_ALICE/DAY4/DAY4_A2_ALICE_21333000.mp4,A2_ALICE,DAY4,30.0,20.0,640,240,660295,136007,https://huggingface.co/datasets/Wangtwohappy/EgoLife_EyeTracking_EyeGaze/resolve/main/EyeTracking/A2_ALICE/DAY4/DAY4_A2_ALICE_21333000.mp4
