path,day,participant,duration_seconds,container_duration_seconds,fps,width,height,size,bytes_fetched,preview_path,source_url
A2_ALICE/DAY1/DAY1_A2_ALICE_11203000.mp4,DAY1,A2_ALICE,30.0,30.04,20.0,1408,1408,14399626,178314,previews/DAY1/001.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY1/DAY1_A2_ALICE_11203000.mp4
A3_TASHA/DAY1/DAY1_A3_TASHA_11203000.mp4,DAY1,A3_TASHA,30.0,30.04,20.0,1408,1408,13225278,249150,previews/DAY1/002.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY1/DAY1_A3_TASHA_11203000.mp4
A4_LUCIA/DAY1/DAY1_A4_LUCIA_11210000.mp4,DAY1,A4_LUCIA,30.0,30.0,20.0,1408,1408,11966565,170085,previews/DAY1/003.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY1/DAY1_A4_LUCIA_11210000.mp4
A5_KATRINA/DAY1/DAY1_A5_KATRINA_11210000.mp4,DAY1,A5_KATRINA,30.0,30.0,20.0,1408,1408,13461622,223350,previews/DAY1/004.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A5_KATRINA/DAY1/DAY1_A5_KATRINA_11210000.mp4
A6_SHURE/DAY1/DAY1_A6_SHURE_11210000.mp4,DAY1,A6_SHURE,30.0,30.0,20.0,1408,1408,12880012,231564,previews/DAY1/005.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY1/DAY1_A6_SHURE_11210000.mp4
A1_JAKE/DAY1/DAY1_A1_JAKE_11213000.mp4,DAY1,A1_JAKE,30.0,30.04,20.0,1408,1408,15828321,165217,previews/DAY1/006.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A1_JAKE/DAY1/DAY1_A1_JAKE_11213000.mp4
A3_TASHA/DAY1/DAY1_A3_TASHA_11433000.mp4,DAY1,A3_TASHA,30.0,30.0,20.0,1408,1408,15347989,274709,previews/DAY1/007.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A3_TASHA/DAY1/DAY1_A3_TASHA_11433000.mp4
A2_ALICE/DAY1/DAY1_A2_ALICE_11440000.mp4,DAY1,A2_ALICE,30.0,30.04,20.0,1408,1408,15930952,267848,previews/DAY1/008.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A2_ALICE/DAY1/DAY1_A2_ALICE_11440000.mp4
A6_SHURE/DAY1/DAY1_A6_SHURE_11443000.mp4,DAY1,A6_SHURE,30.0,30.0,20.0,1408,1408,11509590,171862,previews/DAY1/009.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A6_SHURE/DAY1/DAY1_A6_SHURE_11443000.mp4
A4_LUCIA/DAY1/DAY1_A4_LUCIA_11450000.mp4,DAY1,A4_LUCIA,30.0,30.0,20.0,1408,1408,12478073,157305,previews/DAY1/010.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A4_LUCIA/DAY1/DAY1_A4_LUCIA_11450000.mp4
A5_KATRINA/DAY1/DAY1_A5_KATRINA_11450000.mp4,DAY1,A5_KATRINA,30.0,30.0,20.0,1408,1408,13489149,185341,previews/DAY1/011.jpg,https://huggingface.co/datasets/lmms-lab/EgoLife/resolve/main/A5_KATRINA/DAY1/DAY1_A5_KATRINA_11450000.mp4
