id,kind,demo,view,duration_seconds,fps,width,height,size_bytes,url
demo1_blur_middle_1,home_individual_view,demo1_blur,middle,131.2,30.0,720,720,8325135,https://egolife-ai.github.io/videos/demo1_blur/middle_grid_1.mp4
demo1_blur_middle_2,home_individual_view,demo1_blur,middle,131.2,30.0,720,720,6938213,https://egolife-ai.github.io/videos/demo1_blur/middle_grid_2.mp4
demo1_blur_middle_3,home_individual_view,demo1_blur,middle,131.2,30.0,720,720,6548414,https://egolife-ai.github.io/videos/demo1_blur/middle_grid_3.mp4
demo1_blur_middle_4,home_individual_view,demo1_blur,middle,131.2,30.0,720,720,7570702,https://egolife-ai.github.io/videos/demo1_blur/middle_grid_4.mp4
demo1_blur_middle_5,home_individual_view,demo1_blur,middle,131.2,30.0,720,720,6698667,https://egolife-ai.github.io/videos/demo1_blur/middle_grid_5.mp4
demo1_blur_middle_6,home_individual_view,demo1_blur,middle,131.2,30.0,720,720,7851098,https://egolife-ai.github.io/videos/demo1_blur/middle_grid_6.mp4
demo1_blur_middle_section,home_composite_view,demo1_blur,middle,120.0,20.0,528,352,6653980,https://egolife-ai.github.io/videos/demo1_blur/middle_section.mp4
demo1_blur_bottom_1,home_individual_view,demo1_blur,bottom,131.2,30.0,720,406,2705908,https://egolife-ai.github.io/videos/demo1_blur/bottom_grid_1.mp4
demo1_blur_bottom_2,home_individual_view,demo1_blur,bottom,131.2,30.0,720,406,2396458,https://egolife-ai.github.io/videos/demo1_blur/bottom_grid_2.mp4
demo1_blur_bottom_3,home_individual_view,demo1_blur,bottom,131.2,30.0,720,406,3171244,https://egolife-ai.github.io/videos/demo1_blur/bottom_grid_3.mp4
demo1_blur_bottom_4,home_individual_view,demo1_blur,bottom,131.2,30.0,720,406,2765469,https://egolife-ai.github.io/videos/demo1_blur/bottom_grid_4.mp4
demo1_blur_bottom_6,home_individual_view,demo1_blur,bottom,131.2,30.0,720,406,1469260,https://egolife-ai.github.io/videos/demo1_blur/bottom_grid_6.mp4
demo1_blur_bottom_7,home_individual_view,demo1_blur,bottom,131.2,30.0,720,406,1946633,https://egolife-ai.github.io/videos/demo1_blur/bottom_grid_7.mp4
demo1_blur_bottom_8,home_individual_view,demo1_blur,bottom,131.2,30.0,720,406,3393324,https://egolife-ai.github.io/videos/demo1_blur/bottom_grid_8.mp4
demo1_blur_bottom_9,home_individual_view,demo1_blur,bottom,131.2,30.0,720,406,1828481,https://egolife-ai.github.io/videos/demo1_blur/bottom_grid_9.mp4
demo1_blur_bottom_section,home_composite_view,demo1_blur,bottom,120.1,20.0,576,324,3945454,https://egolife-ai.github.io/videos/demo1_blur/bottom_section.mp4
demo1_blur_top_1,home_individual_view,demo1_blur,top,131.2,30.0,720,406,1480465,https://egolife-ai.github.io/videos/demo1_blur/top_grid_1.mp4
demo1_blur_top_2,home_individual_view,demo1_blur,top,131.2,30.0,720,406,140016,https://egolife-ai.github.io/videos/demo1_blur/top_grid_2.mp4
demo1_blur_top_3,home_individual_view,demo1_blur,top,131.2,30.0,720,406,1449063,https://egolife-ai.github.io/videos/demo1_blur/top_grid_3.mp4
demo1_blur_top_4,home_individual_view,demo1_blur,top,131.2,30.0,720,406,1359428,https://egolife-ai.github.io/videos/demo1_blur/top_grid_4.mp4
demo1_blur_top_6,home_individual_view,demo1_blur,top,131.2,30.0,720,406,1115660,https://egolife-ai.github.io/videos/demo1_blur/top_grid_6.mp4
demo1_blur_top_7,home_individual_view,demo1_blur,top,131.2,30.0,720,406,1226597,https://egolife-ai.github.io/videos/demo1_blur/top_grid_7.mp4
demo1_blur_top_8,home_individual_view,demo1_blur,top,131.2,30.0,720,406,1318400,https://egolife-ai.github.io/videos/demo1_blur/top_grid_8.mp4
demo1_blur_top_section,home_composite_view,demo1_blur,top,120.1,20.0,576,324,2467476,https://egolife-ai.github.io/videos/demo1_blur/top_section.mp4
demo2_blur_middle_1,home_individual_view,demo2_blur,middle,71.1,30.0,720,720,3661365,https://egolife-ai.github.io/videos/demo2_blur/middle_grid_1.mp4
